key,value
528,8
8149,7
8765,9
9998,6
1692,13
4138,8
4196,13
5095,6
7374,6
8836,4
3068,4
7530,9
6745,9
5786,11
7448,7
2,6
5849,15
9301,11
5307,15
7528,8
9336,10
139,11
3480,10
8210,1
3476,8
199,7
5832,1
3790,3
3497,10
310,13
1708,4
3320,13
5358,6
6756,4
26,15
9414,7
833,14
4615,15
1437,9
7956,10
4859,4
5217,2
8894,2
6588,10
370,4
4563,12
3711,8
2483,9
4287,7
4062,14
2435,11
2645,1
9053,1
7539,3
846,12
1640,2
466,6
7792,8
44,5
2858,14
9024,15
5377,13
4100,1
4066,10
3139,3
5089,1
558,4
2901,3
4928,7
597,14
9304,13
8269,2
2386,15
9446,7
4634,5
4356,12
7760,15
5602,9
2561,11
6820,14
6573,12
6553,10
2142,1
4524,12
642,3
3344,12
2552,1
9206,2
7072,13
6819,10
5234,5
1745,8
6789,11
5672,2
2856,1
5044,15
423,8
2845,12
2004,2
913,6
7607,5
600,7
2243,13
7728,3
8326,7
4629,12
858,9
3754,6
2787,4
8870,14
2759,11
8582,7
9688,3
1837,3
4889,12
635,4
8088,5
903,8
8564,3
706,8
3492,8
8797,7
3589,9
6280,13
4470,3
8892,11
7523,13
7528,4
5542,1
8777,4
3324,2
4552,4
6425,3
7746,5
4333,10
8878,10
26,3
1240,15
1077,10
7243,14
8870,14
7395,14
7383,13
746,7
3278,7
7822,5
8438,3
2194,11
5198,12
5518,10
268,14
3031,4
1131,8
9144,2
422,2
9563,10
9387,12
6703,7
5056,13
6543,8
7939,12
2326,13
2705,15
1994,4
3604,2
49,2
2997,15
1147,14
5373,12
4137,5
2844,8
4773,8
1449,9
2932,7
8199,11
2716,5
2308,1
4108,8
6215,1
4165,4
8142,9
1861,4
2783,3
7205,6
2333,1
2236,7
633,15
7387,1
2468,7
3325,12
8319,12
1782,13
9631,12
5792,5
7229,14
3163,12
4560,6
9728,10
3543,4
8554,13
5260,15
9098,3
9359,4
6225,4
9583,7
8801,12
2775,7
576,1
780,5
4502,12
423,3
7821,11
2425,8
8192,12
2116,1
5022,9
6576,13
3908,2
6503,15
1507,5
4931,8
1304,12
2554,14
8712,2
5359,8
9789,11
7716,1
7498,15
9231,12
7466,8
3984,12
7030,5
2774,4
1115,1
1443,4
8028,14
5680,15
1837,5
3871,3
9090,15
6715,13
6553,4
1618,15
6453,6
700,6
9822,5
5936,9
5759,15
9030,5
725,13
3011,12
4939,9
5741,4
6063,10
955,14
6220,9
9113,9
7592,9
3763,15
8882,12
9298,12
4498,14
8724,12
9576,10
2675,11
3237,11
3025,6
4580,3
6170,9
647,1
6549,1
2109,3
5265,12
239,6
3739,12
5766,15
7846,1
1415,13
9929,7
4436,4
2147,14
5683,12
7288,3
3226,12
958,13
5834,15
4180,6
7566,8
468,2
935,4
5648,8
2261,10
5917,3
9687,15
1004,15
3205,5
5240,12
8707,11
8542,11
1215,8
5888,4
4626,15
8458,2
1782,10
8757,12
4728,8
3351,15
8235,2
8892,4
16,2
9216,8
7688,6
5050,5
6003,5
7075,7
7169,10
3498,15
4623,6
1589,8
5859,10
7765,15
2414,2
9523,12
9253,3
4913,12
9675,3
8717,15
1899,7
3983,13
2195,9
1690,3
4734,8
8874,8
6429,14
5332,1
7352,11
4174,12
9517,10
4186,5
9570,12
965,11
4761,6
6818,5
9517,7
4916,13
7902,15
7977,4
9034,12
6588,2
5059,10
7846,14
7621,1
9119,13
6456,9
6966,12
6771,5
6165,10
5132,12
2799,4
365,2
3697,10
8049,3
8791,3
8408,11
7954,10
2671,7
9998,1
4218,14
8321,4
5921,6
1943,4
5508,14
5272,6
6604,13
9134,5
9046,6
9933,11
693,14
9364,14
6259,10
9011,12
8041,14
6176,8
3895,7
2594,6
2751,8
7086,3
4444,6
4217,14
9835,10
4661,3
2706,7
9917,5
3775,1
2037,1
6851,7
5197,5
26,11
3374,9
1826,5
80,3
5834,6
6900,12
9695,11
8637,1
80,1
218,13
9085,2
2538,3
1761,7
6715,12
6081,3
9285,12
1134,10
1105,12
7738,4
2767,4
7553,10
9175,2
2968,11
3291,14
94,14
1667,6
9448,5
5352,15
6501,2
5346,1
7259,6
8432,10
5453,15
8797,5
3087,3
5330,13
3552,13
6109,14
516,14
790,2
1160,12
3793,5
9090,14
3182,4
8579,8
9470,15
7024,12
4063,3
8129,12
820,15
6774,8
4488,6
5075,14
9222,4
5150,3
5600,3
7272,15
3318,9
8230,10
9302,3
3485,10
6511,1
214,1
5775,7
5015,11
585,14
4601,15
414,15
7802,12
6545,6
7235,11
3703,11
5635,10
629,8
9412,8
7790,8
6221,13
873,3
2568,15
7527,8
9214,1
4042,12
9824,2
3974,6
6696,10
622,14
1727,15
8243,11
3926,13
3556,2
8534,13
8591,2
6481,5
5747,4
8482,4
1584,4
5793,10
6695,15
7331,9
8083,14
4255,5
237,9
8880,8
4823,5
7564,12
7010,14
6336,8
4834,10
7180,9
7585,12
7286,15
165,5
2809,8
6645,11
4368,3
1085,8
6053,6
5192,9
6056,12
352,2
2484,14
7794,3
9617,9
2834,6
6597,8
2046,15
3316,13
6026,15
4635,2
5577,12
3301,15
9611,12
8734,13
3179,7
6297,5
1060,5
1162,9
3755,14
2120,10
8629,13
8061,14
577,15
5467,2
9929,6
3766,7
9355,4
7734,15
607,15
9434,4
1502,4
6351,9
7972,11
1137,10
3527,15
2842,11
6435,11
5764,9
4001,13
7848,12
968,15
8568,1
9740,1
1036,1
5677,12
5339,15
3117,4
5453,6
4133,1
5705,1
730,7
5320,3
9813,10
2470,4
3492,7
1070,1
8656,9
6845,9
4130,2
292,15
7027,7
3089,2
5061,7
9318,11
8457,6
9586,12
163,14
5665,4
7301,7
6251,13
3061,14
7356,4
1638,5
741,3
3204,8
4361,9
2742,6
3062,6
9776,8
8225,6
2563,10
5246,3
2560,15
418,1
6117,11
6912,7
5498,5
7911,15
7284,10
644,8
4710,5
8095,4
8770,1
7427,7
6512,1
6398,9
7281,6
734,15
5712,12
997,8
1256,5
7068,11
1222,7
3247,12
9381,3
5118,11
9276,5
3578,15
9882,7
7220,12
5956,14
1964,11
3638,11
9612,5
4581,11
9634,5
8553,1
3119,4
5722,5
9254,7
8859,1
7880,5
8591,15
5705,7
8054,14
1780,8
5366,11
7741,13
5110,5
2815,12
750,3
9873,13
5268,5
6171,11
4142,8
7749,4
9434,2
2767,14
2627,8
6333,6
8306,6
2415,14
4753,5
8276,2
595,11
6201,8
7329,9
1814,13
1019,10
8926,9
9619,3
9962,7
2624,12
6115,5
2300,13
6057,7
1344,7
8065,6
2267,6
8465,2
5304,8
9730,3
9004,15
9280,15
6854,14
3657,5
4166,13
426,3
6777,1
770,7
9665,3
1298,8
2377,10
1187,7
3972,8
4418,5
2465,14
327,7
4001,10
2983,4
9423,2
9867,10
8003,15
4532,7
7418,4
5376,2
7870,3
7676,14
6212,8
7204,12
6218,14
9073,7
1108,6
5590,7
982,6
7796,15
5690,14
2467,3
4549,6
8087,3
4805,10
8254,7
6884,6
8373,4
6656,1
9632,1
587,4
2504,1
2675,3
1624,5
1707,13
7368,13
3625,2
2100,6
2968,12
95,14
4268,14
8186,13
7018,11
3229,8
5469,15
6905,9
9124,12
964,14
3735,12
8240,11
707,6
1676,3
7293,9
2871,14
3458,12
6402,8
5629,7
8253,13
8014,8
6969,2
2946,14
7756,1
407,14
6778,14
3728,5
6209,11
8735,1
4949,12
5210,4
3727,1
2181,1
9033,12
6030,3
1364,6
3482,10
9181,7
3641,5
3045,7
3098,13
4575,9
1690,13
6349,8
1143,7
630,15
9664,1
7428,6
5574,14
6884,6
2475,11
4041,5
227,15
8519,3
9847,14
6523,13
8125,12
9266,3
7576,6
4106,11
5754,4
6043,6
5372,6
6894,4
5329,3
3265,2
1924,1
1374,14
2674,9
4628,3
5569,1
2550,11
209,6
4090,5
6953,14
3125,6
2614,7
4917,6
9974,13
4990,12
9715,5
2039,15
4979,11
8238,6
6939,4
4041,1
2523,12
7496,9
3086,13
180,10
26,11
9754,1
7560,10
2770,12
1303,5
3481,9
8926,13
7448,5
4674,10
8866,10
529,13
5767,5
3249,15
3822,3
2011,4
4856,13
8236,11
6990,15
708,11
9223,12
8740,5
9498,9
9014,4
5190,11
6156,2
5318,6
6366,4
7318,14
1674,5
2765,12
8919,8
2376,8
5026,12
5731,14
9264,12
2952,6
983,2
9341,13
1458,4
7057,12
7709,1
9309,14
6784,10
7365,11
3413,9
459,10
5954,1
3675,7
7303,14
8326,5
8887,5
8191,6
8550,3
3166,5
4168,14
8444,13
793,3
4823,15
8727,6
3472,8
2622,15
3478,4
242,7
7912,9
1839,2
3957,15
922,8
3206,9
2360,9
2851,1
1442,7
1140,13
7312,15
6512,6
966,12
7553,13
8835,14
8449,13
9735,1
4296,11
2163,4
427,9
5828,12
6420,9
9744,2
8862,10
6772,7
2212,11
3805,12
7027,12
7860,3
2672,5
404,5
6991,5
4245,5
997,14
236,1
2757,6
325,13
8087,14
7494,15
1175,12
3068,10
7412,1
3750,6
4389,4
5326,6
1010,5
6817,4
1943,11
6997,12
7971,4
5236,12
9518,4
2645,8
343,8
5088,4
6534,8
7558,11
1165,5
914,8
6627,2
2452,10
3829,15
136,7
9124,11
2549,11
5715,15
8956,1
3433,15
1702,8
7263,2
830,5
9997,13
9269,2
9114,1
2681,8
7734,4
1105,10
9609,2
2650,8
3819,12
5798,6
9133,6
3834,12
4622,15
6217,11
7952,3
2875,9
2604,15
2393,10
3160,1
5842,10
6959,12
6990,13
6553,14
5093,5
3312,15
8796,11
4189,12
5256,1
8215,13
5739,15
2189,7
6651,5
2915,7
385,10
6033,15
755,3
2996,4
9658,2
329,11
2415,4
9032,2
5873,6
3436,13
2422,8
9458,7
7123,6
6325,7
926,14
1971,12
8945,14
2696,2
7307,2
7752,5
6477,11
5868,3
2262,6
592,13
3418,9
4912,4
990,2
3394,13
2948,13
9170,6
7156,9
3993,9
3523,12
5917,8
2760,11
7206,2
315,2
4625,4
2626,14
1032,5
8913,12
2566,8
312,15
2723,5
5734,7
9559,4
5664,13
5945,8
6199,13
7771,2
1797,8
130,2
2182,1
9530,8
8310,12
1780,1
9991,11
6467,10
8801,9
497,1
9525,8
2301,15
1922,1
9545,9
4716,3
5497,12
7489,6
8656,10
8813,15
5739,2
7880,7
3538,3
311,6
4548,3
5929,10
2751,5
2209,2
4046,13
4792,4
5455,11
9800,6
2175,10
9528,12
3615,5
6808,14
4067,2
7225,2
9372,14
3211,12
9171,13
1710,2
7423,6
8904,13
4999,5
6804,7
8692,3
2897,9
6218,12
7869,9
8103,9
1882,15
890,6
285,5
1621,12
1428,2
757,5
7919,12
5217,2
6592,13
2578,12
182,2
4242,2
9945,12
5883,4
512,15
6686,12
7465,10
1093,4
5485,11
6707,15
7843,3
5100,2
8401,4
7454,10
1991,12
8129,4
6649,4
4668,11
7059,1
7804,6
459,12
5791,3
8143,5
6873,2
2165,3
7821,15
9133,9
3270,2
5500,15
9103,3
4452,4
3482,11
1401,11
3216,4
6766,7
1096,8
6346,6
2880,14
9368,15
8801,15
9161,8
3576,11
6771,8
596,10
1821,4
9449,6
1152,10
7061,1
6931,10
2134,13
3973,1
9237,3
8205,2
5403,15
1416,15
9729,8
2742,13
4719,10
3518,3
8985,2
1701,13
3469,5
4380,6
3352,10
6390,15
7752,4
8961,10
5860,9
6150,14
2791,15
90,8
615,15
2496,15
446,2
6007,15
4788,7
295,4
1113,1
9626,2
1899,4
6038,14
1741,12
2452,15
3319,14
1393,15
7381,7
7171,4
8705,8
828,15
7200,5
8462,5
47,11
5761,5
9926,6
3819,2
5333,3
1125,13
6237,13
6765,6
9855,13
9205,6
7117,8
2220,10
7808,13
4942,15
8502,6
5725,6
867,10
3229,8
9667,14
1297,1
7828,7
8127,7
2801,6
4209,10
4216,8
5341,5
9861,11
9610,9
2110,14
6688,14
6452,14
8993,11
2400,1
5548,8
9751,13
2477,1
922,7
2179,13
88,4
6720,7
6677,11
7247,10
9983,2
9954,15
7887,12
949,13
9504,10
901,15
937,5
2639,1
1750,7
6254,1
1865,3
3916,10
4021,5
350,8
216,11
1994,12
6052,9
1305,11
4688,1
2461,9
8480,4
3986,3
6234,8
8944,1
6024,15
6343,4
173,13
2702,12
4740,15
7823,7
6998,1
1897,6
883,15
1250,13
8056,12
9050,8
7451,11
379,6
425,15
4592,10
2423,5
4194,12
5327,4
7621,3
1638,9
4832,7
550,8
6201,8
6509,15
8321,14
9638,2
3468,10
5324,11
8877,8
1545,6
2099,14
3041,11
1713,15
9077,12
3376,3
873,13
6549,12
7939,5
559,9
1893,15
476,13
1037,5
3376,4
2571,11
1873,5
1122,13
4772,15
2588,14
711,3
1700,4
8639,3
799,13
8782,6
2061,4
8963,2
8420,7
1474,4
6514,2
6841,2
2731,5
6065,10
638,9
935,13
6830,11
2884,3
2735,6
5632,3
7344,12
489,6
6762,2
8551,6
7619,9
9979,10
2632,1
5086,12
1916,2
6669,10
3200,7
2768,12
3971,9
8402,10
4466,14
3699,13
8456,6
6414,4
9661,12
1005,7
5439,1
3166,9
5445,14
9477,14
3196,8
9196,8
9049,3
796,9
6852,15
3680,2
9476,2
767,11
9938,6
2859,10
2443,9
6,3
1911,15
9641,4
4820,10
2384,7
5186,8
9548,11
3020,5
8215,7
2815,13
1713,3
8570,5
5304,4
4785,4
6978,11
4626,15
8696,3
948,2
1196,4
5055,10
517,14
6516,3
8465,13
8384,7
8200,9
6290,3
4755,3
1964,9
5335,9
6092,13
7381,3
148,15
9296,7
7513,7
1579,14
6471,8
5387,2
8723,7
6293,15
7643,4
9120,6
9374,13
6071,11
5518,1
8023,1
1906,7
125,9
1948,11
7229,13
5241,10
9243,15
6333,10
4189,13
1487,1
8935,3
7937,3
1816,4
2678,10
9171,6
1940,2
6694,8
1706,2
8864,14
1606,1
9433,6
3256,8
4035,10
1753,13
8895,9
4512,6
5909,14
6203,1
5672,5
1907,5
9184,9
766,13
633,5
3643,2
8248,2
882,3
855,3
7380,14
2855,12
467,6
5790,8
1675,11
8975,5
2885,4
6438,10
481,1
3709,15
9286,6
4854,12
9586,5
178,9
2125,9
4657,14
4519,11
7784,1
2496,9
3650,7
771,12
4339,9
4140,9
4986,8
7256,4
9339,11
9469,13
4285,15
4007,12
4246,6
4039,5
4243,13
209,10
249,8
899,2
8633,5
8872,10
9946,15
248,4
310,3
6050,15
4923,11
4301,5
5686,3
6840,10
9763,13
3409,8
3466,6
8505,15
8687,3
9001,7
1605,2
1574,8
6280,2
5100,7
699,14
6382,7
9706,8
9119,8
1431,12
9190,11
2081,2
2492,3
444,7
1844,14
8496,8
2870,8
6518,3
3380,12
3448,4
306,3
3075,10
7934,2
2321,1
3174,12
8727,11
9232,1
7603,5
2697,3
6799,4
5010,8
5077,11
3932,9
1727,11
1858,11
6650,10
8575,13
4677,9
2612,5
8386,12
7954,12
4216,3
5974,5
1248,3
6730,7
6638,13
6732,8
5216,14
6572,7
928,4
9287,2
6450,4
1381,14
2047,11
5820,2
9775,2
1692,3
3151,9
4953,5
5552,12
1753,13
3749,2
3474,15
3644,11
9743,6
9231,10
3839,13
5703,12
7830,15
1176,5
1399,8
9717,13
3915,5
4354,4
9926,14
811,4
3291,4
4745,10
2400,2
340,15
404,15
8421,13
7931,5
215,7
111,10
8763,14
9827,1
2540,10
8163,14
3996,14
3310,6
6797,11
9945,12
1685,11
9807,15
5397,3
1732,5
8530,9
2308,15
3019,5
6604,14
6109,10
1172,7
4756,7
291,2
5520,12
9681,15
7790,13
3859,2
5307,13
6834,3
1932,9
1586,12
8270,6
2383,13
8379,9
3328,13
1374,14
4441,6
9862,12
293,8
7780,8
3204,5
4937,11
7432,10
3806,11
1027,1
1931,14
870,15
5676,15
8326,2
1560,1
8677,3
5277,10
228,14
7404,9
8633,11
8322,12
3951,8
2286,7
9824,3
8410,9
1544,6
2606,3
8812,2
8560,12
5978,1
761,7
6194,4
6901,6
9209,1
2718,2
2902,13
1227,10
8323,15
4957,7
3932,10
7863,2
4204,12
4318,1
3064,14
1890,14
3999,1
5527,9
6598,10
7268,2
4743,10
2550,13
2014,1
9708,11
325,7
3859,10
7062,3
3830,15
2459,4
9975,5
9674,7
2533,2
4711,3
3298,3
5071,5
9059,8
3332,3
2378,9
3899,3
4857,8
332,12
7386,10
452,2
1732,8
7267,3
8570,5
9095,3
656,11
8634,4
1608,6
3807,13
4105,1
6295,12
4983,5
4165,5
118,3
1165,9
3590,15
9806,5
905,10
1167,11
3339,12
27,8
7654,7
1956,3
1005,6
741,14
7219,10
885,3
2491,7
6213,14
2781,6
9215,9
2580,14
4719,3
6298,5
8275,8
6463,2
7911,7
6817,15
6376,5
7102,10
9103,11
8215,7
4387,7
6192,5
7905,13
4937,9
4167,6
4364,12
508,7
9585,2
9825,1
6564,9
9368,1
1183,2
1614,15
9749,9
1306,1
4118,2
3761,1
713,7
7290,3
2492,14
5689,12
86,15
3630,2
3639,8
5231,15
1524,3
4291,5
8221,13
6636,8
247,9
9216,7
25,4
4530,13
9497,9
453,6
2784,7
8580,4
3674,1
3414,8
4551,7
7594,4
7969,12
3980,5
3839,5
560,8
7672,12
2539,2
4400,5
3508,14
1884,5
6486,1
5340,11
1477,14
299,8
8252,1
3752,3
9331,15
7065,9
5405,13
5047,9
7715,3
2606,3
1732,11
2147,7
1896,12
7994,4
1754,10
9754,15
1035,7
3904,9
983,5
7127,5
1511,2
2589,10
3783,4
910,10
2245,11
1674,12
2889,12
5004,4
9541,5
5923,3
2525,14
798,3
8120,3
2278,9
7780,10
9535,11
7927,15
1065,11
1087,4
1190,4
2049,11
3086,14
6815,4
9786,3
1731,6
5973,15
1489,12
2303,13
7208,3
8036,8
1164,5
326,9
8398,6
2675,7
3029,8
8962,14
2359,14
1458,3
4758,9
6592,4
9509,14
7697,4
1593,15
5347,12
6500,10
2942,9
8652,8
9116,12
9865,3
9664,9
4474,15
9229,9
8850,5
1752,15
6039,4
1116,12
2119,15
2173,9
700,9
9048,11
7648,9
3998,6
9316,5
4435,1
4219,7
4993,1
6463,3
4799,12
9129,6
7317,1
1767,3
6069,9
6443,14
269,12
4443,14
5846,9
7761,7
3446,15
6937,10
2127,2
7864,2
923,5
6535,13
905,6
9228,15
6463,14
763,1
5361,6
134,4
8718,12
5038,1
4989,6
5356,3
9622,10
1139,9
5592,6
622,3
9960,6
744,9
8646,1
4961,12
5912,9
6676,3
357,2
1471,1
6447,9
410,4
3933,6
5446,2
456,5
2006,9
760,4
6819,14
142,11
3623,12
9448,7
3599,10
1861,5
5317,8
488,3
8291,8
4613,11
7662,5
1691,15
7558,6
2582,6
7595,12
3986,5
526,11
2341,4
5837,6
9408,8
3223,15
9639,15
5971,13
3879,2
9758,14
5610,10
3080,2
4846,2
7332,15
6855,6
9177,15
5268,13
7458,2
6221,1
6004,13
3863,1
7116,14
86,10
7956,3
2467,12
8290,5
7689,3
2237,10
871,12
2698,7
9035,9
8298,1
6602,13
4692,14
8943,10
1793,3
3234,15
1193,13
2081,11
550,5
5615,12
6278,5
6603,11
4666,8
9621,10
3827,2
5290,14
4371,5
9858,15
1192,10
9600,11
7668,8
5572,14
5621,15
9089,4
5140,3
8124,11
5,6
6251,13
4642,10
8402,12
276,3
938,7
8639,5
1889,13
2460,9
9041,9
2542,9
2200,4
293,8
821,12
9010,5
7131,15
4789,10
1119,15
6781,15
9440,10
7805,13
2853,15
9872,15
8220,4
9732,15
232,7
2485,14
3881,13
9124,4
4889,10
594,13
98,2
177,11
1514,6
1062,5
1014,12
3535,4
5092,2
7626,5
8017,9
6729,3
5449,11
4264,10
1713,6
3965,6
3322,6
1126,9
3324,7
3643,14
6941,13
3639,1
7905,12
672,4
4095,2
8151,3
8675,13
9279,3
3228,2
8059,11
6949,14
8022,5
3910,15
851,12
6332,3
1210,11
8111,8
9126,15
527,3
296,4
844,1
3983,15
7156,4
4784,6
7812,2
7323,7
2788,10
5463,3
9124,8
7176,14
3943,3
4506,5
3196,15
5662,6
9417,1
7655,5
518,13
2237,11
7477,14
5216,4
9571,7
7243,13
382,3
8323,11
469,7
7451,12
4296,4
9557,7
7722,3
519,7
4476,11
6115,7
6477,15
112,12
9957,2
3134,14
5831,2
7387,15
6246,9
8873,3
4761,12
9846,14
8876,12
6332,1
2721,9
6816,12
5130,11
7800,11
8975,13
6303,4
6384,10
8078,13
7454,14
4651,2
6751,13
544,5
4411,6
5527,6
8247,1
7992,3
961,6
6805,10
4423,15
5294,10
419,4
6523,13
773,10
9024,7
2831,2
3821,15
9228,12
1774,13
7917,8
2160,3
2881,3
6958,9
8946,4
1461,15
9212,15
7630,12
3228,9
7472,4
1106,4
2235,1
7278,12
4106,7
5444,14
3429,10
117,14
2021,11
1125,1
511,15
7672,1
7665,14
6996,2
5320,8
7520,12
4343,13
7963,7
1827,11
7764,5
2542,4
4365,12
7019,9
6011,13
2751,12
2095,8
703,8
3348,2
6097,6
3568,8
1211,10
9339,2
8624,9
2834,14
9775,11
2798,11
8131,1
9720,12
3294,8
6712,9
914,3
8080,7
415,1
3384,13
232,13
3917,9
2404,15
9309,10
2979,4
4921,10
255,1
6584,1
7615,6
9113,7
2840,2
4403,4
5465,9
55,9
4026,5
7324,3
4832,11
5561,11
2947,1
8189,6
1880,2
1768,6
6593,13
51,13
975,10
30,15
4487,10
6427,13
2169,5
1370,2
3266,15
5701,14
6283,2
5598,2
9099,5
4124,2
6205,14
3251,4
397,3
4874,15
9067,13
9674,4
5995,6
7645,14
5452,9
3996,13
3759,10
5278,2
6475,6
9950,3
9731,6
8494,14
9670,11
7124,4
5829,4
2055,12
9991,8
8804,3
9540,6
9548,15
907,8
7734,9
5156,3
8955,6
1738,11
9562,14
107,6
6190,14
5026,8
5563,9
2158,14
1476,10
8608,13
3954,5
822,14
7964,5
4235,4
4098,14
1710,9
9954,4
4670,11
4818,6
2656,4
6075,15
6431,6
4506,9
7080,5
3453,14
9037,3
2788,12
7274,14
6012,15
4185,4
5702,2
7235,12
1095,8
7486,5
5947,10
8625,12
6400,1
4348,1
1070,6
6046,3
8612,14
7440,3
3504,12
9105,4
7748,2
2524,3
1466,8
8883,12
5088,12
2393,2
3230,4
5709,5
7772,9
2836,12
7097,13
9897,11
8422,11
3734,11
2278,15
54,7
5515,5
7497,11
9544,8
8502,1
129,8
7142,3
3630,13
4496,15
9405,6
1482,12
3881,12
8774,1
1552,15
6558,5
2068,11
4405,9
7814,6
7734,8
8108,11
9351,12
9939,7
3764,11
174,13
5041,4
4136,9
4356,4
8029,11
3828,14
6078,3
7,4
1853,3
8129,10
9298,13
5896,15
6143,3
2892,10
4522,1
9826,8
1264,12
7660,10
1304,4
660,1
6658,9
6722,1
1388,3
8137,3
1824,9
6243,1
4545,2
1530,6
547,10
6767,14
1537,13
4019,3
2677,13
8488,4
9515,6
9558,8
121,7
803,4
6527,1
6123,9
8859,6
1206,2
2312,8
2015,5
5783,10
5095,5
6803,1
215,2
1564,13
8501,6
8230,8
4454,8
720,1
1783,8
6100,7
3117,7
9470,1
4592,6
1403,5
5656,9
2216,2
7808,2
65,6
4333,9
1626,3
297,2
2487,12
6741,5
1828,11
7453,7
6678,3
4676,1
3123,9
9879,7
6316,4
2632,13
2796,9
5566,9
3559,8
7768,8
7847,12
2198,5
5211,13
8130,13
8129,10
4135,6
142,2
8150,7
5005,6
6857,7
6488,13
675,12
781,15
978,14
5906,13
2374,1
84,9
452,7
1674,15
6010,12
5065,8
5812,6
1945,5
3478,3
9898,1
1708,6
195,8
6194,13
1311,4
2897,11
6998,11
4506,1
3076,9
7650,9
8612,10
1420,9
5517,9
6567,12
3981,7
8120,1
1819,3
9329,8
1955,4
4631,5
6230,7
5748,1
2174,3
6900,5
9762,4
6748,10
3005,7
4488,4
3539,13
3129,2
7986,8
6094,5
762,4
4754,7
2660,10
2373,6
551,14
812,15
9889,14
5600,10
2479,15
8014,14
5130,11
3710,8
6161,9
2280,1
1958,2
1830,1
9948,3
5163,15
3943,9
2887,7
9528,6
6756,11
